First_pokemon,Second_pokemon,Winner
245,273,273
654,653,653
175,620,620
217,635,635
139,212,139
609,704,609
176,124,124
66,498,498
203,715,715
277,25,25
400,120,120
653,576,653
11,259,259
139,80,139
715,406,406
131,242,242
332,220,220
516,531,516
398,639,639
339,399,399
606,623,623
561,601,601
248,660,248
418,521,521
578,719,719
128,409,128
646,699,646
413,502,502
165,276,276
191,168,168
489,332,489
239,347,347
573,262,262
369,124,369
517,222,222
532,222,222
183,671,183
342,125,342
69,399,399
619,597,597
433,363,433
3,689,689
393,39,393
212,134,134
465,667,667
414,239,239
383,706,383
237,731,237
327,191,191
675,598,598
350,486,486
686,625,625
130,673,130
224,693,224
464,200,464
585,38,585
547,671,547
558,34,558
334,550,334
698,537,698
278,181,278
522,106,106
212,156,156
65,398,65
611,562,562
523,510,510
664,34,664
409,320,409
613,87,87
120,293,120
532,564,564
668,73,73
439,488,488
342,31,31
312,146,146
464,527,527
499,483,499
443,211,211
638,196,196
279,352,352
468,684,684
148,709,148
138,244,244
394,653,653
204,244,244
394,555,555
222,332,222
744,230,744
559,270,559
397,192,192
609,327,609
394,34,34
299,371,371
430,81,430
65,729,65
41,567,41
4,622,4
745,288,288
179,419,179
450,521,450
363,310,310
57,272,57
494,404,494
130,140,130
48,106,106
344,148,148
207,290,290
273,29,273
323,122,323
458,411,458
552,550,552
403,39,403
327,501,501
278,123,123
45,303,45
155,512,155
710,119,710
5,234,5
650,142,142
84,448,448
347,66,347
322,249,249
202,43,202
688,224,224
635,225,225
486,410,486
183,541,541
366,588,366
50,514,514
48,110,110
581,130,581
500,731,500
346,500,500
141,512,141
281,247,281
81,348,81
48,26,26
156,697,697
12,101,101
490,686,490
255,86,255
311,595,595
590,643,643
686,670,670
273,733,273
36,104,36
89,290,89
377,361,361
440,363,440
142,419,142
492,24,24
498,245,498
213,233,233
148,733,148
452,380,452
247,146,146
431,545,431
503,433,503
182,737,737
351,684,684
445,180,445
24,540,24
30,451,451
467,168,168
119,97,119
5,556,5
127,289,127
76,464,464
538,487,538
695,51,51
203,675,675
716,617,716
660,397,660
22,498,498
18,748,18
650,135,135
281,587,587
145,618,145
49,702,702
467,397,467
721,243,243
18,575,18
89,229,229
298,497,497
471,7,471
539,419,419
731,318,318
621,208,208
575,47,575
491,670,670
396,222,396
477,711,477
344,140,140
435,328,435
127,650,127
322,691,691
266,557,266
88,243,243
682,127,127
119,696,119
563,98,563
52,513,513
610,134,610
577,705,577
478,21,478
746,432,746
332,356,356
480,383,383
64,414,64
493,263,493
316,354,316
641,118,118
194,653,653
307,351,307
546,73,73
737,447,447
384,282,384
21,683,683
417,362,417
531,720,720
57,75,57
236,204,236
499,305,499
282,497,497
196,400,196
528,277,277
192,597,192
84,720,84
107,624,107
122,63,63
521,360,521
596,201,596
295,150,150
667,174,667
45,51,45
217,406,406
533,628,533
741,678,678
380,670,380
480,146,146
106,50,50
325,588,325
48,485,485
487,749,487
720,163,720
86,676,676
747,395,747
287,390,390
280,230,280
545,685,685
521,386,386
265,262,262
714,685,714
200,92,92
620,80,620
114,723,723
240,142,142
97,460,460
411,566,566
98,42,42
674,543,543
512,389,389
130,679,679
447,219,447
339,118,118
3,682,3
457,83,457
666,95,666
417,12,12
390,131,390
676,2,676
600,486,600
229,324,229
333,337,333
325,717,325
181,101,181
140,712,712
158,598,598
396,53,53
566,401,566
741,117,117
518,197,197
145,587,587
352,16,16
371,367,367
318,398,318
76,522,522
157,561,157
722,525,525
45,431,431
410,97,97
503,721,503
479,692,479
422,714,714
135,749,749
525,39,525
522,693,522
177,22,22
227,403,227
393,38,38
746,326,746
180,710,710
409,742,409
194,400,400
725,535,725
366,53,53
364,375,375
210,631,631
705,180,180
531,392,392
193,34,34
32,668,668
14,416,416
491,694,491
654,579,654
366,374,366
471,126,126
423,81,423
460,457,460
553,596,596
417,77,77
501,479,479
659,475,475
10,56,56
680,456,680
166,226,226
693,108,693
23,389,389
671,527,527
449,31,31
384,37,384
492,141,141
140,146,146
690,14,690
166,532,532
63,277,63
157,665,665
445,182,445
635,461,635
2,571,2
687,234,687
64,751,64
111,61,61
690,562,562
62,361,361
493,666,493
530,52,52
702,23,23
356,592,356
194,689,194
420,646,646
417,596,596
567,604,567
738,164,738
227,546,546
489,672,489
681,539,539
667,73,667
470,692,470
398,479,479
586,383,383
291,269,291
421,742,742
722,6,6
101,735,101
412,427,427
221,683,221
640,174,640
249,16,249
690,741,690
434,206,434
527,259,527
573,504,504
675,569,675
1,631,631
547,121,547
391,309,309
227,410,227
15,661,661
411,23,411
66,104,104
340,80,340
586,736,736
633,742,633
165,717,165
537,454,454
539,543,543
684,1,684
435,478,435
686,15,15
586,317,586
520,707,520
322,75,322
378,735,378
380,78,380
562,198,562
113,541,541
146,70,146
275,656,656
463,268,463
715,637,637
386,186,386
464,182,464
284,42,42
73,288,288
421,186,421
652,43,652
395,486,486
66,442,66
579,288,288
199,609,199
116,569,116
584,659,659
644,303,644
8,283,283
440,17,440
617,154,154
33,274,274
713,714,714
399,1,399
392,127,127
652,391,652
46,345,345
145,155,145
721,340,721
741,642,642
358,234,234
91,157,91
52,232,52
208,264,208
332,561,332
372,485,372
599,269,599
11,708,708
180,726,180
244,62,244
517,701,701
702,228,228
412,277,277
297,527,527
241,61,61
662,392,662
266,618,266
116,451,451
231,99,99
63,195,195
111,311,111
207,157,157
647,86,86
372,233,372
179,559,559
117,74,117
650,307,307
381,657,657
390,361,390
372,342,372
535,383,383
475,247,475
279,660,660
351,449,449
513,64,513
498,137,137
62,329,329
624,684,684
584,10,584
593,310,310
332,386,386
546,384,384
716,482,716
361,148,361
102,622,622
202,690,202
371,599,599
470,98,98
574,688,688
195,118,195
637,600,600
369,380,380
456,641,641
486,194,486
375,533,375
67,254,254
418,665,665
342,180,180
267,465,465
258,170,258
350,651,651
270,693,693
315,742,315
39,297,297
81,730,730
139,218,139
726,619,726
245,276,276
554,341,341
25,447,447
84,166,84
541,355,541
434,392,434
327,385,385
93,16,16
246,166,246
7,13,13
101,384,384
224,161,161
192,423,423
730,712,730
176,673,176
508,401,401
491,75,491
114,392,114
549,579,549
372,50,372
416,276,276
59,596,59
537,293,293
241,193,193
107,449,107
68,437,437
32,277,277
702,608,608
411,158,411
341,464,341
743,186,743
569,245,569
437,494,494
384,702,384
351,144,144
303,600,600
519,28,28
79,457,457
197,393,197
504,730,504
275,322,275
396,582,396
192,361,192
535,618,535
46,732,732
449,378,378
473,534,534
8,723,723
261,287,287
72,585,585
393,76,393
518,49,49
287,706,287
227,637,227
650,198,650
69,520,520
409,16,409
122,431,122
455,198,455
102,172,102
33,473,473
119,278,119
281,33,281
704,547,547
651,416,651
660,414,660
94,279,94
362,219,219
454,258,454
601,446,601
488,173,488
135,173,135
98,26,26
512,493,493
22,38,38
254,153,153
602,604,602
590,358,358
198,265,198
529,212,529
306,305,306
72,357,72
165,35,165
126,499,126
191,637,637
586,437,437
438,642,438
241,41,41
80,53,53
589,647,647
664,67,664
648,252,252
442,93,93
441,613,613
673,583,583
322,236,236
442,557,557
21,749,749
556,121,121
307,485,485
273,163,163
239,325,239
387,433,387
499,377,499
158,207,158
59,157,59
745,227,745
483,395,395
142,602,142
579,138,138
134,612,612
317,96,317
664,528,664
554,680,680
477,419,477
316,480,480
532,339,532
2,197,197
7,548,548
484,714,484
388,470,388
280,363,280
145,237,145
48,552,552
383,680,383
213,305,213
149,105,149
53,109,53
584,694,694
445,660,660
164,642,642
119,382,382
149,397,149
679,202,679
659,716,659
490,479,490
749,624,624
5,41,5
655,684,684
695,228,228
725,412,725
261,632,261
494,277,494
193,638,638
458,56,458
382,686,382
107,633,107
332,632,632
420,421,421
222,299,222
665,746,746
214,619,214
248,724,724
183,358,358
165,319,165
617,33,33
433,365,433
349,674,349
364,533,533
114,561,114
457,114,457
90,490,490
518,668,668
220,85,85
598,426,598
81,428,81
523,205,523
595,36,595
513,290,290
667,312,667
116,574,116
